Created Date,Name,Species,Primary Breed,Sex,Age (Months),Age Group,Primary Color,Days in Custody,Days on Site,Current Weight,Attributes
09/08/2020,Firefly,Dog,"Terrier, American Pit Bull",Female,35,Adult Dog (5 months-8 years),Brown,7,7,44.3 lbs,"D2D Required,Has lived with cats,Kids under 6 meet first"
09/08/2020,Firefly,Dog,"Terrier, American Pit Bull",Female,35,Adult Dog (5 months-8 years),Brown,8,8,44.3 lbs,"D2D Required,Has lived with cats,Kids under 6 meet first"
01/20/2020,Miles,Cat,Domestic Shorthair,Male,26,Young adult (1-5 years),Orange,52,52,,
01/20/2020,Miles,Cat,Domestic Shorthair,Male,26,Young adult (1-5 years),Orange,1,1,,
01/20/2020,Miles,Cat,Domestic Shorthair,Male,26,Young adult (1-5 years),Orange,1,1,,
01/20/2020,Miles,Cat,Domestic Shorthair,Male,26,Young adult (1-5 years),Orange,1,1,,
01/20/2020,Miles,Cat,Domestic Shorthair,Male,26,Young adult (1-5 years),Orange,1,1,,
01/20/2020,Miles,Cat,Domestic Shorthair,Male,26,Young adult (1-5 years),Orange,1,1,,
02/21/2020,Mia,Dog,"Terrier, Yorkshire, Yorkie",Female,62,Adult Dog (5 months-8 years),Black,1,1,,
03/09/2020,Shadow,Dog,"Chihuahua, Short Coat",Male,26,Adult Dog (5 months-8 years),Black,29,29,,
03/09/2020,Shadow,Dog,"Chihuahua, Short Coat",Male,26,Adult Dog (5 months-8 years),Black,1,1,,
03/02/2020,Joy,Cat,Domestic Shorthair,Female,26,Young adult (1-5 years),White,62,62,,
03/02/2020,Joy,Cat,Domestic Shorthair,Female,26,Young adult (1-5 years),White,1,1,,
